Date,Open,High,Low,Close,Adj Close,Volume,Change
2020-12-14,213.100006,216.210007,212.880005,214.199997,212.419434,28798379,0.005162
2020-12-15,215.164993,215.419998,212.240005,214.130005,212.350021,27018106,-0.004810
2020-12-16,214.750000,220.110001,214.720001,219.279999,217.457199,35023253,0.021094
2020-12-17,219.869995,220.889999,217.919998,219.419998,217.596054,32515784,-0.002047
2020-12-18,218.589996,219.690002,216.020004,218.589996,216.772934,63354922,0.000000
2020-12-21,217.550003,224.000000,217.280106,222.589996,220.739685,37181886,0.023167
2020-12-22,222.690002,225.630005,221.850006,223.940002,222.078476,22643397,0.005613
2020-12-23,223.110001,223.558899,220.800003,221.020004,219.182739,18699638,-0.009368
2020-12-24,221.419998,223.610001,221.199997,222.750000,220.898361,10550572,0.006007
2020-12-28,224.449997,226.029999,223.020004,224.960007,223.089981,17933496,0.002272
2020-12-29,226.309998,227.179993,223.580002,224.149994,222.286697,17403213,-0.009544
2020-12-30,225.229996,225.630005,221.470001,221.679993,219.837250,20272337,-0.015762
2020-12-31,221.699997,223.000000,219.679993,222.419998,220.571106,20942132,0.003248
2021-01-04,222.529999,223.000000,214.809998,217.690002,215.880432,37130139,-0.021750
2021-01-05,217.259995,218.520004,215.699997,217.899994,216.088669,23822953,0.002946
2021-01-06,212.169998,216.489899,211.940002,212.250000,210.485641,35930653,0.000377
2021-01-07,214.039993,219.339996,213.710007,218.289993,216.475433,27694480,0.019856
2021-01-08,218.679993,220.580002,217.026093,219.619995,217.794388,22956206,0.004299
2021-01-11,218.470001,218.910004,216.729996,217.490005,215.682098,23047029,-0.004486
2021-01-12,216.500000,217.100006,213.320206,214.929993,213.143356,23249336,-0.007252
2021-01-13,214.020004,216.759995,213.926605,216.339996,214.541656,20087080,0.010840
2021-01-14,215.910004,217.460007,212.740005,213.020004,211.249268,29346737,-0.013385
2021-01-15,213.520004,214.509995,212.029999,212.649994,210.882309,31746512,-0.004075
2021-01-19,213.750000,216.979996,212.630005,216.440002,214.640808,30480859,0.012585
2021-01-20,217.699997,225.789993,217.290802,224.339996,222.475159,37777260,0.030501
2021-01-21,224.699997,226.300003,222.419998,224.970001,223.099915,30749553,0.001202
2021-01-22,227.080002,230.070007,225.800003,225.949997,224.071747,30172663,-0.004976
2021-01-25,229.119995,229.779999,224.220001,229.529999,227.621994,33152095,0.001789
2021-01-26,231.860001,234.179993,230.080002,232.330002,230.398743,49169601,0.002027
2021-01-27,238.000000,240.440002,230.139999,232.899994,230.963989,69870638,-0.021429
2021-01-28,235.610001,242.639999,235.089996,238.929993,236.943863,49111159,0.014091
2021-01-29,235.990005,238.020004,231.350006,231.960007,230.031799,42503138,-0.017077
2021-02-01,235.059998,242.500000,232.429993,239.649994,237.657867,33314193,0.019527
2021-02-02,241.300003,242.309998,238.690002,239.509995,237.519043,25916337,-0.007418
2021-02-03,239.570007,245.089996,239.259995,243.000000,240.980042,27158104,0.014317
